date,AvgTemp
2022-10-11,66.0
2022-10-12,67.0
2022-10-13,64.0
2022-10-14,63.0
2022-10-15,60.0
2022-10-16,60.0
2022-10-17,66.0
2022-10-18,74.0
2022-10-19,76.0
2022-10-20,74.0
2022-10-21,68.0
2022-10-22,60.0
2022-10-23,58.0
2022-10-24,58.0
2022-10-25,61.0
2022-10-26,59.0
2022-10-27,60.0
2022-10-28,62.0
2022-10-29,63.0
2022-10-30,66.0
2022-10-31,66.0
2022-11-01,60.0
2022-11-02,54.0
2022-11-03,50.0
2022-11-04,53.0
2022-11-05,56.0
2022-11-06,57.0
2022-11-07,55.0
2022-11-08,52.0
2022-11-09,49.0
2022-11-10,50.0
2022-11-11,53.0
2022-11-12,52.0
2022-11-13,50.0
2022-11-14,53.0
2022-11-15,54.0
2022-11-16,57.0
2022-11-17,56.0
2022-11-18,55.0
2022-11-19,58.0
2022-11-20,56.0
2022-11-21,56.0
2022-11-22,55.0
2022-11-23,57.0
2022-11-24,60.0
2022-11-25,57.0
2022-11-26,55.0
2022-11-27,56.0
2022-11-28,51.0
2022-11-29,52.0
2022-11-30,49.0
2022-12-01,50.0
2022-12-02,52.0
2022-12-03,57.0
2022-12-04,54.0
2022-12-05,52.0
2022-12-06,49.0
2022-12-07,48.0
2022-12-08,47.0
2022-12-09,47.0
2022-12-10,50.0
2022-12-11,47.0
2022-12-12,41.0
2022-12-13,43.0
2022-12-14,45.0
2022-12-15,48.0
2022-12-16,49.0
2022-12-17,47.0
2022-12-18,48.0
2022-12-19,49.0
2022-12-20,51.0
2022-12-21,55.0
2022-12-22,55.0
2022-12-23,55.0
2022-12-24,59.0
2022-12-25,63.0
2022-12-26,63.0
2022-12-27,56.0
2022-12-28,52.0
2022-12-29,51.0
2022-12-30,52.0
2022-12-31,53.0
2023-01-01,48.0
2023-01-02,45.0
2023-01-03,50.0
2023-01-04,55.0
2023-01-05,50.0
2023-01-06,49.0
2023-01-07,54.0
2023-01-08,54.0
2023-01-09,52.0
2023-01-10,50.0
2023-01-11,47.0
2023-01-12,55.0
2023-01-13,54.0
2023-01-14,49.0
2023-01-15,49.0
2023-01-16,48.0
2023-01-17,45.0
2023-01-18,45.0
2023-01-19,45.0
2023-01-20,46.0
2023-01-21,48.0
2023-01-22,48.0
2023-01-23,48.0
2023-01-24,51.0
2023-01-25,53.0
2023-01-26,55.0
2023-01-27,53.0
2023-01-28,50.0
2023-01-29,46.0
2023-01-30,47.0
2023-01-31,49.0
2023-02-01,50.0
2023-02-02,53.0
2023-02-03,55.0
2023-02-04,55.0
2023-02-05,50.0
2023-02-06,51.0
2023-02-07,54.0
2023-02-08,56.0
2023-02-09,61.0
2023-02-10,57.0
2023-02-11,50.0
2023-02-12,46.0
2023-02-13,50.0
2023-02-14,46.0
2023-02-15,44.0
2023-02-16,47.0
2023-02-17,50.0
2023-02-18,51.0
2023-02-19,52.0
2023-02-20,56.0
2023-02-21,52.0
2023-02-22,41.0
2023-02-23,40.0
2023-02-24,44.0
2023-02-25,39.0
2023-02-26,41.0
2023-02-27,42.0
2023-02-28,44.0
2023-03-01,44.0
2023-03-02,46.0
2023-03-03,47.0
2023-03-04,47.0
2023-03-05,46.0
2023-03-06,48.0
